algorithm,ensemble_size,depth,timeout,mean_score,std_score,mean_time,best_score,best_set
GNRPA,1000,5,30,0.6578333333333333,0.037136160873795815,30.255167984962462,0.7273333333333333,"[('NICD', True), ('CDH2', True), ('CTNNB1', True), ('p73', False), ('miR203', False)]"
NMCS,1000,6,30,0.6166666666666667,0.0824254545365421,30.177288913726805,0.7370000000000001,"[('AKT1', True), ('AKT2', True), ('CTNNB1', True), ('NICD', True), ('ZEB1', True), ('miR203', False)]"
LNMCS,1000,6,30,0.6294000000000001,0.046377389126838794,30.22409334182739,0.7113333333333333,"[('CDH2', True), ('CTNNB1', True), ('DKK1', True), ('NICD', True), ('SNAI1', True), ('p53', False)]"
BILNMCS,1000,6,30,0.6517599999999999,0.08041038738869499,30.14647822380066,0.8296,"[('CDH2', True), ('CTNNB1', True), ('DKK1', True), ('DNAdamage', False), ('ECMicroenv', True), ('SNAI2', True)]"
NRPA,1000,6,30,0.7295,0.05022753782095588,30.256735610961915,0.8113333333333332,"[('CDH2', True), ('CTNNB1', True), ('DKK1', True), ('SNAI1', True), ('TGFbeta', True), ('ZEB2', True)]"
GNRPA,1000,6,30,0.6698666666666667,0.06913034387622012,30.166911602020264,0.7593333333333334,"[('SNAI2', True), ('CDH2', True), ('SNAI1', True), ('SMAD', True), ('AKT2', True), ('miR203', True)]"
NMCS,1000,8,30,0.6552666666666667,0.03097949142398705,30.211871576309203,0.7063333333333331,"[('AKT1', True), ('CTNNB1', True), ('DKK1', False), ('DNAdamage', True), ('SMAD', True), ('SNAI2', True), ('TGFbeta', True), ('TWIST1', True)]"
LNMCS,1000,8,30,0.647,0.0657398914916456,30.22487449645996,0.7993333333333333,"[('CDH2', True), ('CTNNB1', True), ('DNAdamage', False), ('ECMicroenv', True), ('GF', False), ('Metastasis', True), ('SNAI1', True), ('SNAI2', True)]"
BILNMCS,1000,8,30,0.70064,0.10238034186307451,30.126875472068786,0.888,"[('CTNNB1', True), ('ECMicroenv', False), ('NICD', True), ('SMAD', True), ('SNAI1', True), ('SNAI2', True), ('ZEB2', True), ('miR200', False)]"
NRPA,1000,8,30,0.7686333333333332,0.06766279956109153,30.240906953811646,0.8796666666666667,"[('AKT2', True), ('CDH2', True), ('CTNNB1', True), ('DNAdamage', False), ('ERK', True), ('NICD', True), ('SMAD', True), ('SNAI1', True)]"
GNRPA,1000,8,30,0.6983333333333334,0.07328710664230101,30.246400785446166,0.8366666666666667,"[('ECMicroenv', True), ('AKT1', True), ('CDH2', True), ('AKT2', True), ('p21', True), ('SNAI1', True), ('CTNNB1', True), ('ZEB2', True)]"
NMCS,1000,9,30,0.6598999999999999,0.07513706734288272,30.247866797447205,0.7370000000000001,"[('AKT1', True), ('CDH1', False), ('ERK', True), ('GF', True), ('Migration', True), ('SMAD', True), ('SNAI2', True), ('TWIST1', True), ('miR203', True)]"
LNMCS,1000,9,30,0.6510666666666666,0.06190311426378771,30.164143228530882,0.7373333333333333,"[('CDH2', True), ('DNAdamage', False), ('NICD', True), ('SMAD', True), ('TGFbeta', True), ('miR203', False), ('miR203', True), ('p53', False), ('p73', False)]"
BILNMCS,1000,9,30,0.70556,0.0724548852735273,30.163792872428893,0.8,"[('CTNNB1', True), ('DNAdamage', True), ('GF', False), ('GF', True), ('Migration', False), ('NICD', True), ('SMAD', True), ('TWIST1', True), ('miR203', False)]"
NRPA,1000,9,30,0.7107,0.1177704405471367,30.23252944946289,0.8466666666666667,"[('AKT2', True), ('CDH2', True), ('CTNNB1', True), ('DNAdamage', False), ('Metastasis', False), ('Migration', True), ('SMAD', True), ('SNAI1', True), ('ZEB1', True)]"
GNRPA,1000,9,30,0.6437666666666667,0.1073986395527326,30.34473352432251,0.8206666666666667,"[('Migration', False), ('SNAI1', True), ('CDH1', False), ('ECMicroenv', True), ('TGFbeta', True), ('Metastasis', False), ('DNAdamage', False), ('TWIST1', True), ('SNAI2', True)]"
NMCS,1000,10,30,0.5925666666666667,0.05391249082231939,30.178182888031007,0.6656666666666669,"[('AKT1', True), ('CDH1', False), ('CTNNB1', True), ('Metastasis', False), ('TWIST1', False), ('TWIST1', True), ('VIM', False), ('ZEB1', True), ('miR200', False), ('miR203', True)]"
LNMCS,1000,10,30,0.6734333333333333,0.05794615316538853,30.290203475952147,0.8103333333333333,"[('CDH1', False), ('CTNNB1', True), ('DNAdamage', False), ('Migration', False), ('SMAD', True), ('SNAI1', True), ('TGFbeta', True), ('ZEB2', True), ('miR203', True), ('miR34', False)]"
BILNMCS,1000,10,30,0.71392,0.08702639599569775,30.08549928665161,0.8904,"[('AKT2', True), ('CTNNB1', True), ('DNAdamage', False), ('ERK', True), ('NICD', True), ('SNAI2', True), ('TGFbeta', True), ('TWIST1', True), ('ZEB1', True), ('p73', False)]"
NRPA,1000,10,30,0.7413333333333334,0.06441997619786373,30.18610198497772,0.8153333333333334,"[('AKT2', True), ('CDH1', False), ('CDH2', True), ('DNAdamage', False), ('ECMicroenv', False), ('ERK', True), ('SMAD', True), ('SNAI1', True), ('SNAI2', True), ('TGFbeta', False)]"
GNRPA,1000,10,30,0.6569333333333335,0.0689825742891316,30.202014446258545,0.7583333333333334,"[('ECMicroenv', False), ('p73', False), ('VIM', True), ('CTNNB1', True), ('Migration', False), ('CDH2', True), ('DNAdamage', False), ('p21', True), ('ZEB2', True), ('p53', False)]"
